model,day_abs,day_order,period,origin_zone_id,dest_zone_id,y_sum
obs,3,3,afternoon,230,186,11
obs,3,3,afternoon,230,230,14
obs,3,3,morning,100,100,13
obs,3,3,morning,100,161,17
obs,3,3,morning,100,162,19
obs,3,3,morning,100,163,20
obs,3,3,morning,100,186,13
obs,3,3,morning,100,230,33
obs,3,3,morning,161,100,50
obs,3,3,morning,161,161,70
obs,3,3,morning,161,162,53
obs,3,3,morning,161,163,50
obs,3,3,morning,161,186,72
obs,3,3,morning,161,230,68
obs,3,3,morning,162,100,16
obs,3,3,morning,162,161,42
obs,3,3,morning,162,162,63
obs,3,3,morning,162,163,23
obs,3,3,morning,162,186,49
obs,3,3,morning,162,230,50
obs,3,3,morning,163,100,30
obs,3,3,morning,163,161,51
obs,3,3,morning,163,162,30
obs,3,3,morning,163,163,26
obs,3,3,morning,163,186,40
obs,3,3,morning,163,230,53
obs,3,3,morning,186,100,9
obs,3,3,morning,186,161,41
obs,3,3,morning,186,162,14
obs,3,3,morning,186,163,25
obs,3,3,morning,186,186,20
obs,3,3,morning,186,230,45
obs,3,3,morning,230,100,45
obs,3,3,morning,230,161,56
obs,3,3,morning,230,162,40
obs,3,3,morning,230,163,45
obs,3,3,morning,230,186,108
obs,3,3,morning,230,230,59
obs,3,3,night,100,100,6
obs,3,3,night,100,161,32
obs,3,3,night,100,162,11
obs,3,3,night,100,163,16
obs,3,3,night,100,186,9
obs,3,3,night,100,230,35
obs,3,3,night,161,100,41
obs,3,3,night,161,161,61
obs,3,3,night,161,162,50
obs,3,3,night,161,163,57
obs,3,3,night,161,186,50
obs,3,3,night,161,230,37
obs,3,3,night,162,100,25
obs,3,3,night,162,161,53
obs,3,3,night,162,162,26
obs,3,3,night,162,163,32
obs,3,3,night,162,186,35
obs,3,3,night,162,230,26
obs,3,3,night,163,100,31
obs,3,3,night,163,161,61
obs,3,3,night,163,162,30
obs,3,3,night,163,163,24
obs,3,3,night,163,186,29
obs,3,3,night,163,230,27
obs,3,3,night,186,100,22
obs,3,3,night,186,161,51
obs,3,3,night,186,162,33
obs,3,3,night,186,163,26
obs,3,3,night,186,186,18
obs,3,3,night,186,230,59
obs,3,3,night,230,100,30
obs,3,3,night,230,161,36
obs,3,3,night,230,162,25
obs,3,3,night,230,163,37
obs,3,3,night,230,186,51
obs,3,3,night,230,230,33
obs,4,4,afternoon,100,100,7
obs,4,4,afternoon,100,161,43
obs,4,4,afternoon,100,162,17
obs,4,4,afternoon,100,163,28
obs,4,4,afternoon,100,186,12
obs,4,4,afternoon,100,230,36
obs,4,4,afternoon,161,100,8
obs,4,4,afternoon,161,161,34
obs,4,4,afternoon,161,162,15
obs,4,4,afternoon,161,163,32
obs,4,4,afternoon,161,186,26
obs,4,4,afternoon,161,230,14
obs,4,4,afternoon,162,100,23
obs,4,4,afternoon,162,161,21
obs,4,4,afternoon,162,162,19
obs,4,4,afternoon,162,163,21
obs,4,4,afternoon,162,186,23
obs,4,4,afternoon,162,230,10
obs,4,4,afternoon,163,100,9
obs,4,4,afternoon,163,161,28
obs,4,4,afternoon,163,162,9
obs,4,4,afternoon,163,163,11
obs,4,4,afternoon,163,186,13
obs,4,4,afternoon,163,230,8
obs,4,4,afternoon,186,100,15
obs,4,4,afternoon,186,161,81
obs,4,4,afternoon,186,162,31
obs,4,4,afternoon,186,163,26
obs,4,4,afternoon,186,186,11
obs,4,4,afternoon,186,230,65
obs,4,4,afternoon,230,100,13
